Date,Total Value
2021-04-19,16215767.958108125
2021-04-20,16241150.011072269
2021-04-21,16114699.584607184
2021-04-22,16071019.389930578
2021-04-23,16300147.78690107
2021-04-26,16486174.324840168
2021-04-27,16452124.600222098
2021-04-28,16385381.633097883
2021-04-29,16348952.146433022
2021-05-03,16173305.424971044
2021-05-04,16173096.22501561
2021-05-05,16100127.165054083
2021-05-06,16148076.168511279
2021-05-07,16354911.568335386
2021-05-10,16232985.895800417
2021-05-11,15897997.857809808
2021-05-12,15665374.078330532
2021-05-13,15472626.512865447
2021-05-14,15667391.49513567
2021-05-17,15472897.235540625
2021-05-18,15885013.745791623
2021-05-19,15837633.131957367
2021-05-20,15849807.094515031
2021-05-21,15938188.033300633
2021-05-24,15870394.795494718
2021-05-25,16150367.53402531
2021-05-26,16173569.834454209
2021-05-27,16111985.796758736
2021-05-28,16237246.728434628
2021-05-31,16339315.668296574
2021-06-01,16376499.756046984
2021-06-02,16358259.620233618
2021-06-03,16363717.224951083
2021-06-04,16359119.376680415
2021-06-07,16317516.028161678
2021-06-08,16296664.913212279
2021-06-09,16263440.445511416
2021-06-10,16450112.427613277
2021-06-11,16475004.211050823
2021-06-15,16595139.592996731
2021-06-16,16532615.4361888
2021-06-17,16570387.90684239
2021-06-18,16540430.046967223
2021-06-21,16222232.275834192
2021-06-22,16182328.280413741
2021-06-23,16456735.617213381
2021-06-24,16372331.098580103
2021-06-25,16375735.37595792
2021-06-28,16401804.406399734
2021-06-29,16446335.426134946
2021-06-30,16466889.844136097
2021-07-01,16431507.936717838
2021-07-02,16368136.20101376
2021-07-05,16455466.145701757
2021-07-06,16528987.83171544
2021-07-07,16591650.815218003
2021-07-08,16523957.017618693
2021-07-09,16457148.849179698
2021-07-12,16605692.825210644
2021-07-13,16814406.100828763
2021-07-14,16929195.112201553
2021-07-15,16952709.432143353
2021-07-16,16601729.341542615
2021-07-19,16619821.476063315
2021-07-20,16600079.411744373
2021-07-21,16547898.815386305
2021-07-22,16692770.866622832
2021-07-23,16610809.78172986
2021-07-26,16516323.400224872
2021-07-27,16466980.909920327
2021-07-28,16414607.485105518
2021-07-29,16474382.516952101
2021-07-30,16400692.2452065
2021-08-02,16596665.26404356
2021-08-03,16702161.192134215
2021-08-04,16735322.392811654
2021-08-05,16718176.375596657
2021-08-06,16586825.553965641
2021-08-09,16549938.509244382
2021-08-10,16508588.00394672
2021-08-11,16464405.276753826
2021-08-12,16426289.79878364
2021-08-13,16356149.526406689
2021-08-16,16392916.70835821
2021-08-17,16394979.444674648
2021-08-18,16278770.736477194
2021-08-19,16019868.6853623
2021-08-20,15972206.757201225
2021-08-23,16191856.083556954
2021-08-24,16251472.669576498
2021-08-25,16431675.274522845
2021-08-26,16606872.20097236
2021-08-27,16744145.454448596
2021-08-30,16821975.79991819
2021-08-31,16921728.718830746
2021-09-01,16903800.01503489
2021-09-02,16788380.5750983
2021-09-03,16983638.32931639
2021-09-06,17127896.707417853
2021-09-07,16984832.472054563
2021-09-08,16937526.1925644
2021-09-09,16980804.900099717
2021-09-10,17024160.92239873
2021-09-13,16945086.639355514
2021-09-14,16945970.182274677
2021-09-15,16831294.280105006
2021-09-16,16709759.322295884
2021-09-17,16673893.73154616
2021-09-22,16508246.06452503
2021-09-23,16514387.572647734
2021-09-24,16686731.087323662
2021-09-27,16738421.649489103
2021-09-28,16551623.900477655
2021-09-29,16278828.575137423
2021-09-30,16296088.897926524
2021-10-01,16203777.736457564
2021-10-04,16121061.541628584
2021-10-05,16118290.08750377
2021-10-06,16126033.668443514
2021-10-07,16252946.911779022
2021-10-08,16192767.61778337
2021-10-12,16274420.286849393
2021-10-13,16225983.072691066
2021-10-14,16226121.74753062
2021-10-15,16646966.680201912
2021-10-18,16532058.17909536
2021-10-19,16666753.899759835
2021-10-20,16625237.217769543
2021-10-21,16600279.294548491
2021-10-22,16737686.502216771
2021-10-25,16648638.285358395
2021-10-26,16762509.070444569
2021-10-27,16788818.96475226
2021-10-28,16748193.95402626
2021-10-29,16687894.319970917
2021-11-01,16713231.378821114
2021-11-02,16717084.112838551
2021-11-03,16697950.715471497
2021-11-04,16617132.396371176
2021-11-05,16866906.4093171
2021-11-08,16837302.91254284
2021-11-09,17011592.707693342
2021-11-10,16999189.564028084
2021-11-11,16929631.855491996
2021-11-12,16930290.22189536
2021-11-15,16955102.59499156
2021-11-16,16976912.03309195
2021-11-17,17065958.35464639
2021-11-18,17228910.906143114
2021-11-19,17424465.721954767
2021-11-22,17389494.757135965
2021-11-23,17330785.472794544
2021-11-24,17222396.99180606
2021-11-25,17253824.648097698
2021-11-26,17106167.270179532
2021-11-29,17117570.894970834
2021-11-30,17211845.720862776
2021-12-01,17238665.52952406
2021-12-02,17397589.16785853
2021-12-03,17434824.65551791
2021-12-06,17249404.2120182
2021-12-07,17426138.56751292
2021-12-08,17377734.942824006
2021-12-09,17449636.240121372
2021-12-10,17458035.995696396
2021-12-13,17423808.111836866
2021-12-14,17375438.516678337
2021-12-15,17373599.238656886
2021-12-16,17543347.6356825
2021-12-17,17582523.031468652
2021-12-20,17322532.67851335
2021-12-21,17333685.93171105
2021-12-22,17405930.576719657
2021-12-23,17542133.375506688
2021-12-24,17588302.225847162
2021-12-27,17599571.92292383
2021-12-28,17752892.208714247
2021-12-29,17724008.009513695
2021-12-30,17786661.933237664
2022-01-03,18002026.700945657
2022-01-04,18370131.350564543
2022-01-05,18224903.801639505
2022-01-06,18213430.155966315
2022-01-07,17962012.23877441
2022-01-10,18066421.24950045
2022-01-11,18239669.485252228
2022-01-12,18334702.389599003
2022-01-13,18376183.20452325
2022-01-14,18558798.981966715
2022-01-17,18761320.57109275
2022-01-18,18492621.810174454
2022-01-19,18421321.484769333
2022-01-20,18337527.32137955
2022-01-21,18160081.036007352
