Date,Holdings
2019-09-02,"{'4763.TW': 104967.34192421827, '2881.TW': 118573.36692723054, '2882.TW': 42010.68572329419, '2330.TW': 274792.53073504416, '00632R.TW': 74193.03370711514, '8069.TWO': 279951.48837008385, 'TLT': 0.0, 'GLD': 0.0, 'TWN': 0.0}"
2019-09-03,"{'4763.TW': 105676.58443349366, '2881.TW': 117891.9128972001, '2882.TW': 41852.94649269988, '2330.TW': 271057.4866279659, '00632R.TW': 74580.46740979045, '8069.TWO': 286888.3469699102, 'TLT': 59316.86436965448, 'GLD': 47055.5075696756, 'TWN': 516.4616800338514}"
2019-09-04,"{'4763.TW': 105321.96716036713, '2881.TW': 118437.07359914214, '2882.TW': 42010.68572329419, '2330.TW': 274792.53073504416, '00632R.TW': 73870.17331456067, '8069.TWO': 290852.25806920277, 'TLT': 59405.50560918277, 'GLD': 47349.30300165378, 'TWN': 520.7968256047737}"
2019-09-05,"{'4763.TW': 104151.72139972501, '2881.TW': 119799.98165920301, '2882.TW': 42589.05198753538, '2330.TW': 280661.8857604529, '00632R.TW': 73224.45868750154, '8069.TWO': 289365.79376964545, 'TLT': 58329.65538140314, 'GLD': 46212.86672249031, 'TWN': 524.8429541210523}"
2019-09-06,"{'4763.TW': 104541.79801125749, '2881.TW': 119936.27498729141, '2882.TW': 42904.53044872401, '2330.TW': 281195.4634900355, '00632R.TW': 73095.31206725985, '8069.TWO': 291347.7398685822, 'TLT': 58744.68353917787, 'GLD': 45818.98832334239, 'TWN': 526.8660183791917}"
2019-09-10,"{'4763.TW': 99080.661745624, '2881.TW': 122389.5170616479, '2882.TW': 43535.479185147786, '2330.TW': 279061.15257170505, '00632R.TW': 73224.45868750154, '8069.TWO': 287383.8287692896, 'TLT': 56689.69100180828, 'GLD': 45257.22611644799, 'TWN': 528.8890826373311}"
2019-09-11,"{'4763.TW': 99080.661745624, '2881.TW': 122525.8103897363, '2882.TW': 43535.479185147786, '2330.TW': 280661.8857604529, '00632R.TW': 73095.31206725985, '8069.TWO': 284906.38196955435, 'TLT': 56588.95589267105, 'GLD': 45531.65128720785, 'TWN': 528.8890826373311}"
2019-09-12,"{'4763.TW': 96740.17818736208, '2881.TW': 122662.1037178247, '2882.TW': 43640.6359435595, '2330.TW': 280128.3080308703, '00632R.TW': 72707.88452263433, '8069.TWO': 287383.8287692896, 'TLT': 56218.25142885202, 'GLD': 45625.28078484657, 'TWN': 531.7791980594016}"
2019-09-16,"{'4763.TW': 96350.09361280726, '2881.TW': 123479.85107594353, '2882.TW': 43693.214322765365, '2330.TW': 283329.7744083659, '00632R.TW': 72449.59744020071, '8069.TWO': 286392.84626911173, 'TLT': 55718.60307411344, 'GLD': 45625.28078484657, 'TWN': 533.8022623175409}"
2019-09-17,"{'4763.TW': 93619.52547999052, '2881.TW': 124161.30510597397, '2882.TW': 43798.37108117708, '2330.TW': 282796.1966787833, '00632R.TW': 72385.02413007985, '8069.TWO': 282924.41696919856, 'TLT': 56020.80840152513, 'GLD': 45715.67862140714, 'TWN': 533.2242833326202}"
